,root,graph_order,graph_size,unique_edges,avg_degree,strongly_connected,weakly_connected,radius,diameter,center,density,root_degree,root_in_degree,root_out_degree,max_cooccurrence,root_freq
43,اله,122,164,156,1.3442622950819672,99,3,,,,0.011109605744479068,7,3,4,3,4
44,اله,132,284,258,2.1515151515151514,35,1,5,8,"['ﻝﺰﻧ', 'ﺐﺘﻛ', 'ﻪﻟﺍ', 'ﺯﺰﻋ', 'ﻮﻤﺳ', 'ﺽﺭﺍ', 'ﻲﻳﺍ', 'ﻡﻮﻗ', 'ﻲﻴﺣ', 'ﺪﻌﺑ', 'ﻮﻠﺗ', 'ﻖﻘﺣ', 'ﻞﻠﻛ', 'ﻢﻠﻋ', 'ﺎﻴﺷ', 'ﺬﺧﺍ', 'ﺍﺰﻫ', 'ﻲﻨﻏ', 'ﻲﻟﻭ', 'ﺐﺑﺭ', 'ﺮﺨﺳ', 'ﻊﻤﺟ', 'ﻝﻮﻗ', 'ﻡﻮﻳ', 'ﻱﺰﺟ', 'ﻥﻮﻛ', 'ﻦﻴﺑ', 'ﻱﻮﻫ', 'ﻢﺣﺭ', 'ﻮﻧﺩ', 'ﺞﺠﺣ', 'ﻚﻠﻣ', 'ﻖﻄﻧ', 'ﺪﻤﺣ']",0.01642377978255841,35,16,19,5,19
45,اله,177,371,344,2.096045197740113,31,1,5,10,"['ﻥﻮﻛ', 'ﻢﻠﻇ']",0.01190934771443246,36,18,18,3,18
46,اله,164,312,282,1.9024390243902438,38,1,5,9,"['ﻪﻟﺍ', 'ﻦﻣﺍ']",0.011671405057608858,53,26,27,5,28
47,اله,176,375,327,2.1306818181818183,23,1,7,13,"['ﺐﻠﻗ', 'ﻞﺧﺩ', 'ﺮﻔﻛ', 'ﺪﺘﻋ', 'ﻢﺣﺭ', 'ﺩﺪﺷ', 'ﺪﻋﻭ', 'ﺪﺠﺳ', 'ﻡﺮﺣ', 'ﻊﻛﺭ']",0.012175324675324676,76,37,39,8,39
48,اله,112,216,193,1.9285714285714286,35,1,9,17,"['ﺪﻨﻋ', 'ﻡﺮﻛ']",0.017374517374517374,53,26,27,4,27
49,اله,147,200,199,1.3605442176870748,90,3,,,,0.009318796011555308,4,2,2,2,2
50,اله,141,169,165,1.198581560283688,117,8,,,,0.008561296859169199,7,3,4,2,4
51,اله,131,153,151,1.16793893129771,100,11,,,,0.008984145625367,7,3,4,2,4
52,اله,118,151,146,1.2796610169491525,77,9,,,,0.010937273649138057,10,4,6,2,6
