,root,graph_order,graph_size,unique_edges,avg degree,strongly_connected,weakly_connected,radius,diameter,center,density
1046,تبب,6,5,5,0.8333333333333334,6,1,1,2,['تبب'],0.16666666666666666
1047,شقو,14,14,13,1.0,14,1,1,2,['شقو'],0.07692307692307693
1048,سعد,3,2,2,0.6666666666666666,3,1,1,2,['سعد'],0.3333333333333333
1049,زفر,5,4,4,0.8,5,1,1,2,['زفر'],0.2
1050,شهق,4,3,3,0.75,4,1,1,2,['شهق'],0.25
1051,جذذ,4,3,3,0.75,4,1,1,2,['جذذ'],0.25
1052,زلف,11,16,12,1.4545454545454546,9,1,1,2,['زلف'],0.14545454545454545
1053,ترف,15,15,14,1.0,15,1,1,2,['ترف'],0.07142857142857142
1054,طرح,3,2,2,0.6666666666666666,3,1,1,2,['طرح'],0.3333333333333333
1055,جبب,4,4,3,1.0,4,1,1,2,['جبب'],0.3333333333333333
1056,لقط,4,3,3,0.75,4,1,1,2,['لقط'],0.25
1057,رتع,3,2,2,0.6666666666666666,3,1,1,2,['رتع'],0.3333333333333333
1058,ذاب,5,6,4,1.2,5,1,1,2,['ذاب'],0.3
1059,قمص,9,12,9,1.3333333333333333,8,1,1,2,['قمص'],0.16666666666666666
1060,سول,6,8,5,1.3333333333333333,6,1,1,2,['سول'],0.26666666666666666
1061,بضع,12,13,11,1.0833333333333333,12,1,1,2,['بضع'],0.09848484848484848
1062,درهم,3,2,2,0.6666666666666666,3,1,1,2,['درهم'],0.3333333333333333
1063,زهد,2,1,1,0.5,2,1,1,1,"['كون', 'زهد']",0.5
1064,غلق,3,2,2,0.6666666666666666,3,1,1,2,['غلق'],0.3333333333333333
1065,هيت,2,2,2,1.0,1,1,1,1,"['قول', 'هيت']",1.0
1066,قدد,6,9,6,1.5,5,1,1,2,['قدد'],0.3
1067,سجن,20,21,20,1.05,19,1,1,2,['سجن'],0.05526315789473684
1068,شغف,3,2,2,0.6666666666666666,3,1,1,2,['شغف'],0.3333333333333333
1069,وكا,12,14,13,1.1666666666666667,10,1,1,2,['وكا'],0.10606060606060606
1070,حوش,3,4,2,1.3333333333333333,3,1,1,2,['حوش'],0.6666666666666666
1071,صبو,5,4,4,0.8,5,1,1,2,['صبو'],0.2
1072,خبز,3,2,2,0.6666666666666666,3,1,1,2,['خبز'],0.3333333333333333
1073,سمن,5,6,4,1.2,5,1,1,2,['سمن'],0.3
1074,عجف,2,4,2,2.0,1,1,1,1,"['سبع', 'عجف']",2.0
1075,ضغث,5,6,4,1.2,5,1,1,2,['ضغث'],0.3
1076,غيث,8,8,7,1.0,8,1,1,2,['غيث'],0.14285714285714285
1077,بول,6,6,5,1.0,6,1,1,2,['بول'],0.2
1078,حصحص,3,2,2,0.6666666666666666,3,1,1,2,['حصحص'],0.3333333333333333
1079,جهز,3,4,3,1.3333333333333333,3,1,1,2,['جهز'],0.6666666666666666
1080,رحل,9,8,8,0.8888888888888888,9,1,1,2,['رحل'],0.1111111111111111
1081,مير,3,2,2,0.6666666666666666,3,1,1,2,['مير'],0.3333333333333333
1082,بعر,4,4,4,1.0,3,1,1,2,['بعر'],0.3333333333333333
1083,حوج,6,6,6,1.0,5,1,1,2,['حوج'],0.2
1084,عير,7,6,6,0.8571428571428571,7,1,1,2,['عير'],0.14285714285714285
1085,فقد,5,4,4,0.8,5,1,1,2,['فقد'],0.2
1086,صوع,3,2,2,0.6666666666666666,3,1,1,2,['صوع'],0.3333333333333333
1087,وعي,9,11,10,1.2222222222222223,7,1,1,2,['وعي'],0.1527777777777778
1088,برح,7,6,6,0.8571428571428571,7,1,1,2,['برح'],0.14285714285714285
1089,فتا,3,2,2,0.6666666666666666,3,1,1,2,['فتا'],0.3333333333333333
1090,شكو,7,6,6,0.8571428571428571,7,1,1,2,['شكو'],0.14285714285714285
1091,زجو,7,6,6,0.8571428571428571,7,1,1,2,['زجو'],0.14285714285714285
1092,ثرب,3,2,2,0.6666666666666666,3,1,1,2,['ثرب'],0.3333333333333333
1093,فند,2,1,1,0.5,2,1,1,1,"['روح', 'فند']",0.5
1094,صنو,4,4,4,1.0,3,1,1,2,['صنو'],0.3333333333333333
1095,جدد,8,14,7,1.75,8,1,1,2,['جدد'],0.25
1096,سرب,7,6,6,0.8571428571428571,7,1,1,2,['سرب'],0.14285714285714285
1097,محل,2,1,1,0.5,2,1,1,1,"['شدد', 'محل']",0.5
1098,سيل,9,8,8,0.8888888888888888,9,1,1,2,['سيل'],0.1111111111111111
1099,زبد,7,6,6,0.8571428571428571,7,1,1,2,['زبد'],0.14285714285714285
1100,جفا,3,2,2,0.6666666666666666,3,1,1,2,['جفا'],0.3333333333333333
1101,مكث,9,11,8,1.2222222222222223,9,1,1,2,['مكث'],0.1527777777777778
1102,قرع,6,5,5,0.8333333333333334,6,1,1,2,['قرع'],0.16666666666666666
1103,محو,4,5,4,1.25,3,1,1,2,['محو'],0.4166666666666667
1104,جرع,2,1,1,0.5,2,1,1,1,"['جرع', 'كود']",0.5
1105,سوغ,6,6,5,1.0,6,1,1,2,['سوغ'],0.2
1106,رمد,3,2,2,0.6666666666666666,3,1,1,2,['رمد'],0.3333333333333333
1107,جزع,4,3,3,0.75,4,1,1,2,['جزع'],0.25
1108,صرخ,8,8,8,1.0,8,1,1,2,['صرخ'],0.14285714285714285
1109,فرع,3,2,2,0.6666666666666666,3,1,1,2,['فرع'],0.3333333333333333
1110,جثث,3,2,2,0.6666666666666666,3,1,1,2,['جثث'],0.3333333333333333
1111,بور,5,5,4,1.0,5,1,1,2,['بور'],0.25
1112,حصي,16,21,17,1.3125,14,1,1,2,['حصي'],0.0875
1113,شخص,4,4,3,1.0,4,1,1,2,['شخص'],0.3333333333333333
1114,هطع,4,3,3,0.75,4,1,1,2,['هطع'],0.25
1115,قنع,5,4,4,0.8,5,1,1,2,['قنع'],0.2
